id,username,created_at,lng,lat,text
1517713085355761668,beerhunter74,Sat Apr 23 03:52:51 +0000 2022,-1.0945885,51.262826000000004,Good Morning World and #HappyStGeorgesDay to all my fellow English men and women around the world.#StGeorgesDay… https://t.co/mjlRiFSu91
1517713109808525312,Sol49358206,Sat Apr 23 03:52:57 +0000 2022,5.4234775,60.3591995,"As the man-made siege of Tigray continues unabated, civilians pay the price. “If no urgent solution is found, we wi… https://t.co/t8ptjwPDyt"
1517713110760665090,ClubAfricana1,Sat Apr 23 03:52:58 +0000 2022,8.4332605,50.144532,#Rindswurst (#beefsausage) 🍆 = #BBC 🍆🤘🏿✌🏿👍🏿#Follow us on #WhatsApp1) https://t.co/m6WWOMa3Je2)… https://t.co/RGQYzqWLAe
1517713122907332608,derekcburgess,Sat Apr 23 03:53:00 +0000 2022,-0.018734,51.5992555,Will any of the things I want from #RecordStoreDay2022 be left by the time I'm able to get into town? @erasureinfo… https://t.co/dslXm4sFrh
1517713137293799425,Sol49358206,Sat Apr 23 03:53:04 +0000 2022,5.4234775,60.3591995,"As the man-made famine continues ""People’s skin color was beginning to change due to hunger; they looked emaciated… https://t.co/wEIYSLqJ4K"
1517713164879679488,Sol49358206,Sat Apr 23 03:53:10 +0000 2022,5.4234775,60.3591995,"Officials in Tigray are saying ""We are struggling to continue with extremely limited resources. We are struggling t… https://t.co/NXvsyWOT2z"
1517713177013899264,Richard50500280,Sat Apr 23 03:53:13 +0000 2022,0.09672249999999999,50.9783385,@PettyRuxpin83 Good morning beautiful x
1517713180436406272,astersymbiont,Sat Apr 23 03:53:14 +0000 2022,-2.915427,53.4198785,"@The_Goofball01 I, maybe naïvely, believe they won't. But yeah, if they do, that is some irreparable damage and I'm out..."
1517713199671480320,Sol49358206,Sat Apr 23 03:53:19 +0000 2022,5.4234775,60.3591995,"There is still no electricity, no water &amp; no banking services in #Tigray. Millions are being denied of services ess… https://t.co/er3sPvBhLz"
1517713202867486720,GayPuglia,Sat Apr 23 03:53:19 +0000 2022,17.699327500000003,40.641397999999995,@OdetteDunn Wow that’s so cool. To reinvent yourself is brave but rewarding; and that also explains the active leis… https://t.co/sIIduSC1SG
1517713223721656321,daygeejohnson,Sat Apr 23 03:53:24 +0000 2022,-4.495979,54.1617045,@Sodjee how much disruption would this cause in May especially in IB? Any?
1517713234106753024,yelobeli,Sat Apr 23 03:53:27 +0000 2022,0.717781,52.2481655,@elaine_bolton Honesty is not the word I would choose to describe him. There are many who are more honest and they… https://t.co/pOthNW4plv
1517713241018929153,PeterMurphy72,Sat Apr 23 03:53:29 +0000 2022,-5.3525015,36.132363,Al tope ✊🏾✊🏾✊🏾✊🏾
1517713247524302848,show_me_magic_,Sat Apr 23 03:53:30 +0000 2022,-1.0204445,54.5923765,@26lizardking Morning
1517713267749175298,MarieKGonce,Sat Apr 23 03:53:35 +0000 2022,4.2279195000000005,50.851519999999994,"@TheMoonCarl Mana, Sand, Apecoin"
1517713298363404288,peterjnixon,Sat Apr 23 03:53:42 +0000 2022,-0.084749,38.575989,Hey Ian… you could start a Black Matter Matters campaign @LBC
1517713299701383169,ClubAfricana1,Sat Apr 23 03:53:43 +0000 2022,8.4332605,50.144532,#Rindswurst (#beefsausage) 🍆 = #BBC 🍆🤘🏿✌🏿👍🏿#Follow us on #WhatsApp1) https://t.co/m6WWOMa3Je2)… https://t.co/I3kwxiyy5b
1517713302150918144,maryoflondon54,Sat Apr 23 03:53:43 +0000 2022,-0.189289,51.4108755,Thanks @DaveInOsaka https://t.co/OogYdlHfWk
